prefix_length_tokens,prefix_length_actual_tokens,repetition,condition,order,ttft_ms,prompt_tokens,cached_tokens,generated_tokens,total_request_latency_ms,timestamp_utc,request_id,server_request_id
2048,2048,10,miss,hit_then_miss,765.722009,2089,0,1,765.758808,2026-07-25T13:16:40.924705+00:00,pcache-62e957856e164fe78c8cf545733c0cd0,chatcmpl-afc34b17fa7b4cfca3f545f95338ccab
2048,2048,11,miss,miss_then_hit,898.44459,2089,0,1,898.483362,2026-07-25T13:16:54.147526+00:00,pcache-a495ce394dd5483b82d4990a92a3f367,chatcmpl-97caecf829834fc98ce60db1c74302fd
2048,2048,11,hit,miss_then_hit,63.888864,2089,2064,1,63.926354,2026-07-25T13:16:54.920520+00:00,pcache-0bf207d07116476eb88b4d1d2b919d63,chatcmpl-b9f3dd0b65da4da8b9ccbc49917f22db
2048,2048,12,miss,miss_then_hit,821.917933,2089,0,1,821.957309,2026-07-25T13:17:08.048291+00:00,pcache-104518ab57fa4392a857327315b3fe87,chatcmpl-62189dec6b9945a1a1a579549b3c1263
2048,2048,12,hit,miss_then_hit,79.057584,2089,2064,1,79.14253,2026-07-25T13:17:09.227507+00:00,pcache-f8befa38edc74f938977f8e66d29028d,chatcmpl-8c0293d550734a56a7e242ff17278869
2048,2048,13,miss,miss_then_hit,846.932474,2089,0,1,846.976615,2026-07-25T13:17:22.497951+00:00,pcache-cbdc83b71a694058bd29e938379b17ca,chatcmpl-3ea252eb983049248d7e0658de847b7d
2048,2048,13,hit,miss_then_hit,64.92588,2089,2064,1,65.015677,2026-07-25T13:17:23.332918+00:00,pcache-fe4cf4782a2947518579e2cadbdf4609,chatcmpl-980aa4a5c7a54051b03ce0d78271974d
2048,2048,14,miss,miss_then_hit,866.328764,2089,0,1,866.432709,2026-07-25T13:17:36.635222+00:00,pcache-24847a7a0747456bbfe4e104d2490415,chatcmpl-d1344ff162ee424fb711f7aceff1bd3c
2048,2048,14,hit,miss_then_hit,63.515613,2089,2064,1,63.629284,2026-07-25T13:17:37.409849+00:00,pcache-41d4ae8ffacd4395935e0d1906f0673e,chatcmpl-90db1a3f289e4f80af9d289b480daa16
4096,4096,0,hit,hit_then_miss,98.657566,4137,4112,1,98.694256,2026-07-25T13:18:29.782518+00:00,pcache-a9ba56f77b67423f95cf3ad816cca1d3,chatcmpl-606760fdd2c344a9ac56e84197db3e68
