experiment_id,experiment,evidence_type,code_commit,model,hardware,interface,N,R_per_inst,K,dispatcher_index_B,snapshot_B,advertised_entries,event_driven_Bps,update_p95_us,lookup_p95_us,fanout_p95,evaluated_fanout_p95,churn_events_per_inst_s,status
20260715_cost_sketch_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,32,64,4,11264,11264,128,819.2,0.365,0.255,4,8,0.1,Current
20260715_cost_exact_affinity_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,32,64,4,134144,134144,2048,13107.2,0.414,0.277,32,8,0.1,Current
20260715_cost_load_only_high_K8_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,32,64,8,3072,3072,0,76.80000000000001,0.292,0.253,0,0,0.1,Current
20260715_cost_sketch_high_K8_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,32,64,8,19456,19456,256,1638.4,0.365,0.248,8,8,0.1,Current
20260715_cost_exact_affinity_high_K8_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,32,64,8,134144,134144,2048,13107.2,0.396,0.272,32,8,0.1,Current
20260715_cost_load_only_high_K16_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,32,64,16,3072,3072,0,76.80000000000001,0.29,0.255,0,0,0.1,Current
20260715_cost_sketch_high_K16_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,32,64,16,35840,35840,512,3276.8,0.396,0.269,16,8,0.1,Current
20260715_cost_exact_affinity_high_K16_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,32,64,16,134144,134144,2048,13107.2,0.404,0.275,32,8,0.1,Current
20260715_cost_load_only_high_K32_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,32,64,32,3072,3072,0,76.80000000000001,0.288,0.258,0,0,0.1,Current
20260715_cost_sketch_high_K32_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,32,64,32,68608,68608,1024,6553.6,0.398,0.274,32,8,0.1,Current
20260715_cost_exact_affinity_high_K32_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,32,64,32,134144,134144,2048,13107.2,0.401,0.283,32,8,0.1,Current
20260715_cost_load_only_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,32,256,2,3072,3072,0,76.80000000000001,0.281,0.272,0,0,0.1,Current
20260715_cost_sketch_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,32,256,2,7168,7168,64,409.6,0.37,0.272,2,8,0.1,Current
20260715_cost_exact_affinity_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,32,256,2,527360,527360,8192,52428.8,0.364,0.245,32,8,0.1,Current
