experiment,evidence_type,coverage_tokens,affinity_queue_ms,policy,n_reps,status,ttft_p50_ms_mean,ttft_p50_ms_ci95_low,ttft_p50_ms_ci95_high,ttft_p95_ms_mean,ttft_p95_ms_ci95_low,ttft_p95_ms_ci95_high,saved_prefill_ms_total_mean,saved_prefill_ms_total_ci95_low,saved_prefill_ms_total_ci95_high,affinity_selected_rate_mean,affinity_selected_rate_ci95_low,affinity_selected_rate_ci95_high,harmful_diversion_rate_mean,harmful_diversion_rate_ci95_low,harmful_diversion_rate_ci95_high,abstention_rate_mean,abstention_rate_ci95_low,abstention_rate_ci95_high
net_benefit_conflict_v4,dispatcher_level_simulation,4096,0.0,sketch_k16_guarded,20,Current,1.4055300578804422,1.3727717013128817,1.43851001460394,112.42045042368422,112.28751005989405,112.54630057768482,434728.96,433392.64,436039.68,0.80642,0.80376,0.80908,0.00747,0.00693,0.00803,0.01394,0.01328,0.014669999999999999
net_benefit_conflict_v4,dispatcher_level_simulation,4096,10.0,affinity_first,20,Current,10.594192547977878,10.57570005615599,10.613262268057975,15.507718596298854,15.47236506427274,15.546447588590537,512000.0,512000.0,512000.0,1.0,1.0,1.0,0.1113,0.10977,0.11274,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,4096,10.0,exact_guarded,20,Current,10.30208135422805,10.277196690763583,10.327718932652457,15.379281739652258,15.337006521323195,15.420621020815119,512000.0,512000.0,512000.0,0.92153,0.92,0.9231,0.03856,0.03738,0.03976,0.07847,0.07688,0.07992
net_benefit_conflict_v4,dispatcher_level_simulation,4096,10.0,load_only,20,Current,108.47096304775825,108.4243192823185,108.53586920889752,116.49886122546918,116.47635121104368,116.52270077717553,82114.56000000001,81075.20000000001,83153.92000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,4096,10.0,sketch_k16_guarded,20,Current,10.966913733289736,10.941167654538022,10.99532207917168,112.50603758783929,112.3954435197513,112.61458656386198,434181.12,433305.60000000003,435061.76,0.75441,0.75231,0.75618,0.0305,0.0295,0.03163,0.06434,0.06344999999999999,0.06536
net_benefit_conflict_v4,dispatcher_level_simulation,4096,50.0,affinity_first,20,Current,50.60504025427941,50.58166366467661,50.625794481198405,55.51322470886032,55.47826571732356,55.54984710937023,512000.0,512000.0,512000.0,1.0,1.0,1.0,0.15809,0.15586,0.16061999999999999,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,4096,50.0,exact_guarded,20,Current,49.899635479919105,49.86321694285882,49.935222492398424,55.24848151107258,55.20535738661172,55.290494250041995,511800.32,511728.64,511866.88,0.84006,0.83769,0.84223,0.00065,0.0005,0.0008,0.15994,0.15797,0.16211
net_benefit_conflict_v4,dispatcher_level_simulation,4096,50.0,load_only,20,Current,108.48217260088417,108.43659708088109,108.53061171197335,116.51562572386369,116.49336016352015,116.53472596615765,82595.84000000001,81392.64,83804.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,4096,50.0,sketch_k16_guarded,20,Current,50.55243479447653,50.521070059128576,50.583174307525624,112.52613732733555,112.4161916722261,112.63242282542086,433331.2,432660.48000000004,434012.16000000003,0.6871,0.68454,0.68946,0.00072,0.00055,0.00091,0.13037,0.12813,0.1323
net_benefit_conflict_v4,dispatcher_level_simulation,4096,100.0,affinity_first,20,Current,100.59285953689665,100.56667201601473,100.62009340515442,105.50969265881412,105.4700571255335,105.54591139801686,512000.0,512000.0,512000.0,1.0,1.0,1.0,0.18934,0.18752,0.1913,0.0,0.0,0.0
